Price;Condo;Size;Rooms;Toilets;Suites;Parking;Elevator;Furnished;Swimming Pool;New;District;Latitude;Longitude
158000;0;38;2;2;1;1;0;0;0;0;Guaianazes;-23.563591;-46.403328
459000;500;48;2;1;0;1;0;0;1;0;Bela Vista;;
199000;60;45;2;2;1;1;0;0;0;0;Artur Alvim;-23.543523;-46.484629999999996
1150000;850;111;3;4;2;3;0;1;1;0;Saúde;-23.621548;-46.61571
690000;577;56;1;1;0;2;0;0;1;0;Consolação;-23.551123899999997;-46.6473909
980000;850;115;3;3;1;2;1;0;1;0;Ipiranga;-23.579506;-46.606133
550000;0;72;2;2;1;1;1;0;0;0;Mandaqui;-23.4848252;-46.6419109
326200;0;61;2;2;1;1;1;0;1;0;Sacomã;-23.613812;-46.597448
239900;437;57;2;2;1;1;1;0;1;0;Vila Curuçá;-23.505635;-46.423502
595000;820;55;2;1;0;1;0;0;0;0;Santa Cecília;;
452161;400;67;2;2;1;1;1;0;1;1;Barra Funda;-23.524310167800003;-46.6527494481
435000;0;77;3;2;1;2;0;0;0;0;Mandaqui;-23.473198999999997;-46.63731
685000;450;107;3;2;1;2;0;0;0;0;Cidade Ademar;-23.6605957;-46.6674919
260000;0;48;2;2;1;1;1;0;0;1;Campo Limpo;-23.619872;-46.756842999999996
180000;250;57;2;2;1;1;0;0;0;0;São Mateus;-23.598596;-46.465352
160000;381;42;1;1;0;1;0;0;0;0;Sé;-23.550852;-46.6292247
310000;528;60;2;1;0;1;0;0;0;0;Cidade Ademar;-23.6661143;-46.6601838
199900;245;51;2;2;1;1;0;0;1;0;Parque do Carmo;-23.6034164;-46.469626500000004
1250000;990;155;3;4;3;3;0;0;1;0;Belém;-23.5400854;-46.593312
372960;370;60;2;2;1;1;1;0;1;0;Brás;-23.5453953;-46.616792600000004
260000;250;64;3;2;1;1;1;0;0;0;Cidade Dutra;-23.736087;-46.699126
299000;570;47;2;2;1;1;1;0;1;0;São Domingos;-23.505628;-46.74372
510000;500;50;2;1;0;1;1;0;0;0;Santa Cecília;-23.538073999999998;-46.6503854
360000;0;70;2;1;0;1;0;0;1;0;Casa Verde;-23.514203600000002;-46.6582605
200000;413;31;1;1;0;1;0;0;0;0;Santa Cecília;-23.5338527;-46.6569541
199000;0;45;2;2;1;1;1;0;1;0;Aricanduva;-23.539786;-46.541823
259000;300;52;2;2;1;1;1;0;1;0;Jaçanã;-23.465702;-46.585427
240000;330;40;1;1;0;1;0;0;0;0;Brás;;
310900;620;66;3;2;1;2;1;0;1;0;Morumbi;-23.626793;-46.746297
340000;650;68;2;1;0;1;1;0;1;0;Mooca;-23.560326500000002;-46.599590299999996
6950000;5000;302;4;5;4;5;0;0;1;0;Moema;-23.5983725;-46.6664412
360000;0;56;1;2;1;1;0;0;0;0;Bom Retiro;-23.5227268;-46.6431854
473000;390;86;3;2;1;1;1;0;1;0;Vila Maria;-23.506535;-46.5826986
450000;1093;70;2;2;1;2;1;0;0;0;Guaianazes;-23.493707;-46.612494
2200000;1400;210;3;5;3;3;1;0;1;0;Vila Leopoldina;-23.533022;-46.731577
365000;400;55;2;2;1;1;1;0;0;0;Campo Grande;-23.670028;-46.686507
500000;320;60;2;2;1;1;0;0;0;0;Liberdade;-23.559339;-46.623384
220000;200;34;2;1;0;0;0;0;0;0;Barra Funda;-23.526971;-46.650895
320000;293;60;3;2;1;1;0;0;1;0;Jardim Ângela;-23.604132999999997;-46.524322
300000;450;49;2;1;0;1;0;0;0;0;Cangaíba;-23.5084397;-46.530778600000005
400000;650;72;3;2;1;2;1;1;0;0;Morumbi;-23.616352;-46.743137
398850;600;63;2;2;1;1;1;0;1;0;Saúde;-23.619826999999997;-46.607533000000004
323700;270;60;3;2;1;1;0;0;1;0;Jaçanã;-23.4777783;-46.5734555
1080000;1450;124;3;5;1;2;0;0;0;0;Brooklin;-23.61376;-46.680960999999996
370000;430;70;3;2;1;1;0;1;0;0;Limão;-23.500056;-46.679888
328000;293;60;2;2;1;1;0;0;0;0;Jardim Ângela;-23.604702;-46.524813
2550000;1700;348;3;2;1;1;0;0;0;0;República;-23.544683;-46.644157
448000;300;59;2;2;1;1;0;0;1;0;Belém;-23.537847;-46.587896
2100000;2200;280;2;2;1;1;0;1;0;0;Bela Vista;-23.5602215;-46.654251
498000;350;69;2;2;1;1;1;0;1;0;Barra Funda;-23.518756;-46.668966
380000;590;58;2;2;1;1;1;0;1;0;Bom Retiro;-23.524677;-46.647365
385000;530;64;2;2;1;1;1;1;1;0;Mooca;-23.557841;-46.591533
241917;0;94;3;2;1;1;0;0;0;0;São Rafael;-23.62733;-46.468517
970000;995;98;2;1;0;1;0;0;0;0;Jardim Paulista;-23.5568629;-46.6555548
350000;300;55;2;1;0;1;0;0;1;0;Vila Maria;-23.508721899999998;-46.5837319
275000;478;50;2;2;1;1;0;0;1;0;Sé;-23.477472;-46.657295
